Name,Price,Discount,Rating,Specs
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",39999,46% off,4.6,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Nothing Phone (3a) Pro (Grey, 256 GB)",29999,14% off,4.5,8 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty
"realme 15x 5G (Marine Blue, 128 GB)",16999,10% off,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.27 cm (6.8 inch) Display; 50MP Rear Camera | 50MP Front Camera; 7000 mAh Battery; Dimensity 6300 6nm Octa-core chipset Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"POCO C71  - Locked with Airtel Prepaid (Desert Gold, 64 GB)",5599,37% off,3.9,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"Nothing Phone (3) (White, 512 GB)",89999,5% off,4.4,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty
"Nothing Phone (3) (Black, 256 GB)",79999,5% off,4.4,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty
"realme C61 (Marble Black, 64 GB)",6099,32% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.13 cm (6.745 inch) HD+ Display; 32MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T612 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"POCO C71 (Cool Blue, 128 GB)",6799,32% off,4.1,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"Ai+ Pulse (Blue, 64 GB)",5499,31% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.13 cm (6.745 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T615 Processor; 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"realme C61 (Safari Green, 64 GB)",6099,32% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.13 cm (6.745 inch) HD+ Display; 32MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T612 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Nothing Phone (3a) Pro (Grey, 128 GB)",27999,15% off,4.5,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty
"Nothing Phone (3) (White, 256 GB)",79999,5% off,4.4,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty
"MOTOROLA g05 (Forest Green, 64 GB)",6999,30% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 16.94 cm (6.67 inch) HD+ Display; 50MP Rear Camera | 8MP Front Camera; 5100 mAh Battery; Helio G81 Processor; 1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Ai+ Pulse (Pink, 64 GB)",5499,31% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.13 cm (6.745 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T615 Processor; 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",8999,41% off,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",7999,42% off,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Nothing Phone (3a) Pro (Black, 128 GB)",27999,15% off,4.5,8 GB RAM | 128 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty
"realme P3 Ultra 5G (Neptune Blue, 128 GB)",19999,37% off,4.4,8 GB RAM | 128 GB ROM; 17.35 cm (6.83 inch) Display; 50MP + 8MP | 16MP Front Camera; 6000 mAh Battery; Dimensity 8350 Ultra Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"POCO C71 (Desert Gold, 64 GB)",6199,31% off,3.9,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",7499,40% off,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB; 17.02 cm (6.7 inch) HD+ Display; 50MP + 2MP | 8MP Front Camera; 5000 mAh Battery; Dimensity 6300 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"Nothing Phone (3) (Black, 512 GB)",89999,5% off,4.4,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",39999,46% off,4.6,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
