Brand,Phone_Model,Name,Price,Original_Price,Discount,Rating,RAM_GB,ROM_GB,Processor,Display_Size_inch,Display_Type,Battery_mAh,Processor,Warranty_Years,Specs,Price_Tier
Samsung,Samsung Galaxy S24 5G Snapdragon,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",39999,74072.22,46,4.6,8.0,128.0,8 Gen 3 Processor,6.2,Full HD+,4000.0,8 Gen 3 Processor,1.0,8 GB RAM | 128 GB ROM; 15.75 cm (6.2 inch) Full HD+ Display; 50MP + 12MP | 12MP Front Camera; 4000 mAh Battery; 8 Gen 3 Processor; 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Mid Range
Nothing,Nothing Phone,"Nothing Phone (3a) Pro (Grey, 256 GB)",29999,34882.56,14,4.5,8.0,256.0,7s Gen3 Processor,6.676000000000001,Full HD+,5000.0,7s Gen3 Processor,1.0,8 GB RAM | 256 GB ROM; 43.66 cm (17.19 cm) Full HD+ Display; 50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera; 5000 mAh Battery; 7s Gen3 Processor; 1 Year Manufacturing Warranty,Mid Range
Realme,realme 15x 5G,"realme 15x 5G (Marine Blue, 128 GB)",16999,18887.78,10,4.3,6.0,128.0,Dimensity 6300 6nm Octa-core chipset Processor,6.8,Full HD+,7000.0,Dimensity 6300 6nm Octa-core chipset Processor,1.0,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.27 cm (6.8 inch) Display; 50MP Rear Camera | 50MP Front Camera; 7000 mAh Battery; Dimensity 6300 6nm Octa-core chipset Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mid Range
Poco,POCO C71  - Locked with Airtel Prepaid,"POCO C71  - Locked with Airtel Prepaid (Desert Gold, 64 GB)",5599,8887.3,37,3.9,4.0,64.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,6.88,HD+,5200.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1.0,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Budget
Nothing,Nothing Phone,"Nothing Phone (3) (White, 512 GB)",89999,94735.79,5,4.4,16.0,512.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,16 GB RAM | 512 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Nothing,Nothing Phone,"Nothing Phone (3) (Black, 256 GB)",79999,84209.47,5,4.4,12.0,256.0,8s Gen 4 Mobile Platform Processor,6.67,Full HD+,5500.0,8s Gen 4 Mobile Platform Processor,1.0,12 GB RAM | 256 GB ROM; 16.94 cm (6.67 inch) Display; 50MP + 50MP + 50MP | 50MP Front Camera; 5500 mAh Battery; 8s Gen 4 Mobile Platform Processor; 1 Year Manufacturing Warranty,High Range
Realme,realme C61,"realme C61 (Marble Black, 64 GB)",6099,8969.12,32,4.4,4.0,64.0,T612 Processor,6.745,HD+,5000.0,T612 Processor,1.0,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.13 cm (6.745 inch) HD+ Display; 32MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T612 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Budget
Poco,POCO C71,"POCO C71 (Cool Blue, 128 GB)",6799,9998.53,32,4.1,6.0,128.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,6.88,HD+,5200.0,Unisoc T7250 Max clock speed:  2 x A75@1.8GHz 6 x A55@1.6GHz Processor,1.0,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB; 17.48 cm (6.88 inch) HD+ Display; 32MP Rear Camera | 8MP Front Camera; 5200 mAh Battery; Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor; 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",Budget
Ai+,Ai+ Pulse,"Ai+ Pulse (Blue, 64 GB)",5499,7969.57,31,4.3,4.0,64.0,T615 Processor,6.745,HD+,5000.0,T615 Processor,1.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB; 17.13 cm (6.745 inch) HD+ Display; 50MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T615 Processor; 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,Budget
Realme,realme C61,"realme C61 (Safari Green, 64 GB)",6099,8969.12,32,4.4,4.0,64.0,T612 Processor,6.745,HD+,5000.0,T612 Processor,1.0,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB; 17.13 cm (6.745 inch) HD+ Display; 32MP Rear Camera | 5MP Front Camera; 5000 mAh Battery; T612 Processor; 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Budget
